Infinitive,заня́ться
Zaliznyak Class,"14b/b*,b"
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,займу́сь
2nd Sing,займёшься
3rd Sing,займётся
1st Pl,займёмся
2nd Pl,займётесь
3rd Pl,займу́тся
Past M,занялся́
Past F,заняла́сь
Past N,заняло́сь
Past PL,заняли́сь
Imp S,займи́сь
Imp PL,займи́тесь
