Infinitive,зате́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зате́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зате́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зате́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зате́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зате́ю
2nd Sing,зате́ешь
3rd Sing,зате́ет
1st Pl,зате́ем
2nd Pl,зате́ете
3rd Pl,зате́ют
Past M,зате́ял
Past F,зате́яла
Past N,зате́яло
Past PL,зате́яли
Imp S,зате́й
Imp PL,зате́йте
