Infinitive,засекре́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засекре́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засекре́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засекре́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засекре́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засекре́чу
2nd Sing,засекре́тишь
3rd Sing,засекре́тит
1st Pl,засекре́тим
2nd Pl,засекре́тите
3rd Pl,засекре́тят
Past M,засекре́тил
Past F,засекре́тила
Past N,засекре́тило
Past PL,засекре́тили
Imp S,засекре́ть
Imp PL,засекре́тьте
