Infinitive,зажда́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зажду́сь
2nd Sing,заждёшься
3rd Sing,заждётся
1st Pl,заждёмся
2nd Pl,заждётесь
3rd Pl,зажду́тся
Past M,зажда́лся
Past F,заждала́сь
Past N,заждало́сь
Past PL,заждали́сь
Imp S,зажди́сь
Imp PL,зажди́тесь
