Infinitive,загло́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загло́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,загло́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загло́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загло́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загло́хну
2nd Sing,загло́хнешь
3rd Sing,загло́хнет
1st Pl,загло́хнем
2nd Pl,загло́хнете
3rd Pl,загло́хнут
Past M,загло́х
Past F,загло́хла
Past N,загло́хло
Past PL,загло́хли
Imp S,загло́хни
Imp PL,загло́хните
