Infinitive,закра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закра́шу
2nd Sing,закра́сишь
3rd Sing,закра́сит
1st Pl,закра́сим
2nd Pl,закра́сите
3rd Pl,закра́сят
Past M,закра́сил
Past F,закра́сила
Past N,закра́сило
Past PL,закра́сили
Imp S,закра́сь
Imp PL,закра́сьте
