Infinitive,заи́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заи́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заи́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заи́скивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заи́скивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заи́скивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заи́скиваю
2nd Sing,заи́скиваешь
3rd Sing,заи́скивает
1st Pl,заи́скиваем
2nd Pl,заи́скиваете
3rd Pl,заи́скивают
Past M,заи́скивал
Past F,заи́скивала
Past N,заи́скивало
Past PL,заи́скивали
Imp S,заи́скивай
Imp PL,заи́скивайте
