Infinitive,закрыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закрыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закрыва́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закрыва́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,закрыва́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,закрыва́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,закрыва́ю
2nd Sing,закрыва́ешь
3rd Sing,закрыва́ет
1st Pl,закрыва́ем
2nd Pl,закрыва́ете
3rd Pl,закрыва́ют
Past M,закрыва́л
Past F,закрыва́ла
Past N,закрыва́ло
Past PL,закрыва́ли
Imp S,закрыва́й
Imp PL,закрыва́йте
