Infinitive,захоте́ться
Zaliznyak Class,5c'
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,захоте́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захоте́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,захочу́сь
2nd Sing,захо́чешься
3rd Sing,захо́чется
1st Pl,захоти́мся
2nd Pl,захоти́тесь
3rd Pl,захотя́тся
Past M,захоте́лся
Past F,захоте́лась
Past N,захоте́лось
Past PL,захоте́лись
Imp S,захоти́сь
Imp PL,захоти́тесь
