Infinitive,засвети́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засвети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засве́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засвети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засвети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засвечу́
2nd Sing,засве́тишь
3rd Sing,засве́тит
1st Pl,засве́тим
2nd Pl,засве́тите
3rd Pl,засве́тят
Past M,засвети́л
Past F,засвети́ла
Past N,засвети́ло
Past PL,засвети́ли
Imp S,засвети́
Imp PL,засвети́те
