Infinitive,замыча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замыча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замыча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,замыча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,замычу́
2nd Sing,замычи́шь
3rd Sing,замычи́т
1st Pl,замычи́м
2nd Pl,замычи́те
3rd Pl,замыча́т
Past M,замыча́л
Past F,замыча́ла
Past N,замыча́ло
Past PL,замыча́ли
Imp S,замычи́
Imp PL,замычи́те
