Infinitive,"зарешети́ть, зареше́тить"
Zaliznyak Class,4b // 4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зарешети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,зареше́тивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарешечённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зареше́ченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,зарешети́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зареше́тив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зарешечу́
2nd Sing,зарешети́шь
3rd Sing,зарешети́т
1st Pl,зарешети́м
2nd Pl,зарешети́те
3rd Pl,зарешетя́т
Past M,зарешети́л
Past F,зарешети́ла
Past N,зарешети́ло
Past PL,зарешети́ли
Imp S,зарешети́
Imp PL,зарешети́те
