Infinitive,закида́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закида́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заки́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закида́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закида́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закида́ю
2nd Sing,закида́ешь
3rd Sing,закида́ет
1st Pl,закида́ем
2nd Pl,закида́ете
3rd Pl,закида́ют
Past M,закида́л
Past F,закида́ла
Past N,закида́ло
Past PL,закида́ли
Imp S,закида́й
Imp PL,закида́йте
