Infinitive,запо́лниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запо́лнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запо́лнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запо́лнюсь
2nd Sing,запо́лнишься
3rd Sing,запо́лнится
1st Pl,запо́лнимся
2nd Pl,запо́лнитесь
3rd Pl,запо́лнятся
Past M,запо́лнился
Past F,запо́лнилась
Past N,запо́лнилось
Past PL,запо́лнились
Imp S,запо́лнись
Imp PL,запо́лнитесь
