Infinitive,затрясти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затря́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затрясённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затря́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,затрясу́
2nd Sing,затрясёшь
3rd Sing,затрясёт
1st Pl,затрясём
2nd Pl,затрясёте
3rd Pl,затрясу́т
Past M,затря́с
Past F,затрясла́
Past N,затрясло́
Past PL,затрясли́
Imp S,затряси́
Imp PL,затряси́те
