Infinitive,заста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заста́ну
2nd Sing,заста́нешь
3rd Sing,заста́нет
1st Pl,заста́нем
2nd Pl,заста́нете
3rd Pl,заста́нут
Past M,заста́л
Past F,заста́ла
Past N,заста́ло
Past PL,заста́ли
Imp S,заста́нь
Imp PL,заста́ньте
