Infinitive,заполони́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заполони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заполонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заполони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заполони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заполоню́
2nd Sing,заполони́шь
3rd Sing,заполони́т
1st Pl,заполони́м
2nd Pl,заполони́те
3rd Pl,заполоня́т
Past M,заполони́л
Past F,заполони́ла
Past N,заполони́ло
Past PL,заполони́ли
Imp S,заполони́
Imp PL,заполони́те
