Infinitive,запо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запо́лню
2nd Sing,запо́лнишь
3rd Sing,запо́лнит
1st Pl,запо́лним
2nd Pl,запо́лните
3rd Pl,запо́лнят
Past M,запо́лнил
Past F,запо́лнила
Past N,запо́лнило
Past PL,запо́лнили
Imp S,запо́лни
Imp PL,запо́лните
