Infinitive,загреме́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загреме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загреме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загреме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загремлю́
2nd Sing,загреми́шь
3rd Sing,загреми́т
1st Pl,загреми́м
2nd Pl,загреми́те
3rd Pl,загремя́т
Past M,загреме́л
Past F,загреме́ла
Past N,загреме́ло
Past PL,загреме́ли
Imp S,загреми́
Imp PL,загреми́те
