Infinitive,зама́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зама́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зама́ниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зама́нивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зама́нивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зама́нивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зама́ниваю
2nd Sing,зама́ниваешь
3rd Sing,зама́нивает
1st Pl,зама́ниваем
2nd Pl,зама́ниваете
3rd Pl,зама́нивают
Past M,зама́нивал
Past F,зама́нивала
Past N,зама́нивало
Past PL,зама́нивали
Imp S,зама́нивай
Imp PL,зама́нивайте
