Infinitive,зави́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зави́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зави́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зави́сну
2nd Sing,зави́снешь
3rd Sing,зави́снет
1st Pl,зави́снем
2nd Pl,зави́снете
3rd Pl,зави́снут
Past M,зави́с
Past F,зави́сла
Past N,зави́сло
Past PL,зави́сли
Imp S,зави́сни
Imp PL,зави́сните
