Infinitive,заговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заговори́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заговори́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заговорю́
2nd Sing,заговори́шь
3rd Sing,заговори́т
1st Pl,заговори́м
2nd Pl,заговори́те
3rd Pl,заговоря́т
Past M,заговори́л
Past F,заговори́ла
Past N,заговори́ло
Past PL,заговори́ли
Imp S,заговори́
Imp PL,заговори́те
