Infinitive,загуде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загуде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загуде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загуде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загужу́
2nd Sing,загуди́шь
3rd Sing,загуди́т
1st Pl,загуди́м
2nd Pl,загуди́те
3rd Pl,загудя́т
Past M,загуде́л
Past F,загуде́ла
Past N,загуде́ло
Past PL,загуде́ли
Imp S,загуди́
Imp PL,загуди́те
