Infinitive,закрепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закрепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закреплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закрепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закрепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закреплю́
2nd Sing,закрепи́шь
3rd Sing,закрепи́т
1st Pl,закрепи́м
2nd Pl,закрепи́те
3rd Pl,закрепя́т
Past M,закрепи́л
Past F,закрепи́ла
Past N,закрепи́ло
Past PL,закрепи́ли
Imp S,закрепи́
Imp PL,закрепи́те
