Infinitive,заскрипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заскрипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заскрипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заскрипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заскриплю́
2nd Sing,заскрипи́шь
3rd Sing,заскрипи́т
1st Pl,заскрипи́м
2nd Pl,заскрипи́те
3rd Pl,заскрипя́т
Past M,заскрипе́л
Past F,заскрипе́ла
Past N,заскрипе́ло
Past PL,заскрипе́ли
Imp S,заскрипи́
Imp PL,заскрипи́те
