Infinitive,замере́ть
Zaliznyak Class,9b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заме́рший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,за́мерший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заме́рши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замру́
2nd Sing,замрёшь
3rd Sing,замрёт
1st Pl,замрём
2nd Pl,замрёте
3rd Pl,замру́т
Past M,за́мер
Past F,замерла́
Past N,за́мерло
Past PL,за́мерли
Imp S,замри́
Imp PL,замри́те
