Infinitive,заве́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заве́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заве́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заве́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заве́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заве́рю
2nd Sing,заве́ришь
3rd Sing,заве́рит
1st Pl,заве́рим
2nd Pl,заве́рите
3rd Pl,заве́рят
Past M,заве́рил
Past F,заве́рила
Past N,заве́рило
Past PL,заве́рили
Imp S,заве́рь
Imp PL,заве́рьте
