Infinitive,завали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,завали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,завалю́сь
2nd Sing,зава́лишься
3rd Sing,зава́лится
1st Pl,зава́лимся
2nd Pl,зава́литесь
3rd Pl,зава́лятся
Past M,завали́лся
Past F,завали́лась
Past N,завали́лось
Past PL,завали́лись
Imp S,завали́сь
Imp PL,завали́тесь
