Infinitive,заморо́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заморо́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заморо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заморо́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заморо́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заморо́чу
2nd Sing,заморо́чишь
3rd Sing,заморо́чит
1st Pl,заморо́чим
2nd Pl,заморо́чите
3rd Pl,заморо́чат
Past M,заморо́чил
Past F,заморо́чила
Past N,заморо́чило
Past PL,заморо́чили
Imp S,заморо́чь
Imp PL,заморо́чьте
