Infinitive,запи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запи́сываюсь
2nd Sing,запи́сываешься
3rd Sing,запи́сывается
1st Pl,запи́сываемся
2nd Pl,запи́сываетесь
3rd Pl,запи́сываются
Past M,запи́сывался
Past F,запи́сывалась
Past N,запи́сывалось
Past PL,запи́сывались
Imp S,запи́сывайся
Imp PL,запи́сывайтесь
