Infinitive,"заржа́веть, заржаве́ть"
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заржа́вевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,заржаве́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заржа́вев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заржаве́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заржа́вею
2nd Sing,заржа́веешь
3rd Sing,заржа́веет
1st Pl,заржа́веем
2nd Pl,заржа́веете
3rd Pl,заржа́веют
Past M,заржа́вел
Past F,заржа́вела
Past N,заржа́вело
Past PL,заржа́вели
Imp S,заржа́вей
Imp PL,заржа́вейте
