Infinitive,зажа́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зажа́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажа́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажа́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зажа́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зажа́рю
2nd Sing,зажа́ришь
3rd Sing,зажа́рит
1st Pl,зажа́рим
2nd Pl,зажа́рите
3rd Pl,зажа́рят
Past M,зажа́рил
Past F,зажа́рила
Past N,зажа́рило
Past PL,зажа́рили
Imp S,зажа́рь
Imp PL,зажа́рьте
