Infinitive,зацепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зацепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зацепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зацепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зацеплю́
2nd Sing,заце́пишь
3rd Sing,заце́пит
1st Pl,заце́пим
2nd Pl,заце́пите
3rd Pl,заце́пят
Past M,зацепи́л
Past F,зацепи́ла
Past N,зацепи́ло
Past PL,зацепи́ли
Imp S,зацепи́
Imp PL,зацепи́те
