Infinitive,заверте́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заверте́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заверте́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заверчу́сь
2nd Sing,заве́ртишься
3rd Sing,заве́ртится
1st Pl,заве́ртимся
2nd Pl,заве́ртитесь
3rd Pl,заве́ртятся
Past M,заверте́лся
Past F,заверте́лась
Past N,заверте́лось
Past PL,заверте́лись
Imp S,заверти́сь
Imp PL,заверти́тесь
