Infinitive,заве́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заве́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заве́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заве́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заве́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заве́шаю
2nd Sing,заве́шаешь
3rd Sing,заве́шает
1st Pl,заве́шаем
2nd Pl,заве́шаете
3rd Pl,заве́шают
Past M,заве́шал
Past F,заве́шала
Past N,заве́шало
Past PL,заве́шали
Imp S,заве́шай
Imp PL,заве́шайте
