Infinitive,засти́гнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засти́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,засти́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засти́гнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,засти́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,засти́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,засти́гну
2nd Sing,засти́гнешь
3rd Sing,засти́гнет
1st Pl,засти́гнем
2nd Pl,засти́гнете
3rd Pl,засти́гнут
Past M,засти́г
Past F,засти́гла
Past N,засти́гло
Past PL,засти́гли
Imp S,засти́гни
Imp PL,засти́гните
