Infinitive,закача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закача́ю
2nd Sing,закача́ешь
3rd Sing,закача́ет
1st Pl,закача́ем
2nd Pl,закача́ете
3rd Pl,закача́ют
Past M,закача́л
Past F,закача́ла
Past N,закача́ло
Past PL,закача́ли
Imp S,закача́й
Imp PL,закача́йте
