Infinitive,заостри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заостри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заострённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заостри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заостри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заострю́
2nd Sing,заостри́шь
3rd Sing,заостри́т
1st Pl,заостри́м
2nd Pl,заостри́те
3rd Pl,заостря́т
Past M,заостри́л
Past F,заостри́ла
Past N,заостри́ло
Past PL,заостри́ли
Imp S,заостри́
Imp PL,заостри́те
