Infinitive,зала́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зала́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зала́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зала́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зала́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зала́жу
2nd Sing,зала́дишь
3rd Sing,зала́дит
1st Pl,зала́дим
2nd Pl,зала́дите
3rd Pl,зала́дят
Past M,зала́дил
Past F,зала́дила
Past N,зала́дило
Past PL,зала́дили
Imp S,зала́дь
Imp PL,зала́дьте
