Infinitive,затми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затми́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затми́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
2nd Sing,затми́шь
3rd Sing,затми́т
1st Pl,затми́м
2nd Pl,затми́те
3rd Pl,затмя́т
Past M,затми́л
Past F,затми́ла
Past N,затми́ло
Past PL,затми́ли
Imp S,затми́
Imp PL,затми́те
