Infinitive,забеспоко́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забеспоко́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забеспоко́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,забеспоко́юсь
2nd Sing,забеспоко́ишься
3rd Sing,забеспоко́ится
1st Pl,забеспоко́имся
2nd Pl,забеспоко́итесь
3rd Pl,забеспоко́ятся
Past M,забеспоко́ился
Past F,забеспоко́илась
Past N,забеспоко́илось
Past PL,забеспоко́ились
Imp S,забеспоко́йся
Imp PL,забеспоко́йтесь
