Infinitive,заруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зару́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарублю́
2nd Sing,зару́бишь
3rd Sing,зару́бит
1st Pl,зару́бим
2nd Pl,зару́бите
3rd Pl,зару́бят
Past M,заруби́л
Past F,заруби́ла
Past N,заруби́ло
Past PL,заруби́ли
Imp S,заруби́
Imp PL,заруби́те
