Infinitive,зада́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зада́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зада́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зада́мся
2nd Sing,зада́шься
3rd Sing,зада́стся
1st Pl,задади́мся
2nd Pl,задади́тесь
3rd Pl,зададу́тся
Past M,зада́лся
Past F,задала́сь
Past N,задало́сь
Past PL,задали́сь
Imp S,зада́йся
Imp PL,зада́йтесь
