Infinitive,зали́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,залью́сь
2nd Sing,зальёшься
3rd Sing,зальётся
1st Pl,зальёмся
2nd Pl,зальётесь
3rd Pl,залью́тся
Past M,зали́лся
Past F,залила́сь
Past N,залило́сь
Past PL,залили́сь
Imp S,зале́йся
Imp PL,зале́йтесь
