Infinitive,запроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запрошу́
2nd Sing,запро́сишь
3rd Sing,запро́сит
1st Pl,запро́сим
2nd Pl,запро́сите
3rd Pl,запро́сят
Past M,запроси́л
Past F,запроси́ла
Past N,запроси́ло
Past PL,запроси́ли
Imp S,запроси́
Imp PL,запроси́те
