Infinitive,задри́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задри́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задри́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задри́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задри́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задри́паю
2nd Sing,задри́паешь
3rd Sing,задри́пает
1st Pl,задри́паем
2nd Pl,задри́паете
3rd Pl,задри́пают
Past M,задри́пал
Past F,задри́пала
Past N,задри́пало
Past PL,задри́пали
Imp S,задри́пай
Imp PL,задри́пайте
