Infinitive,запуга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запуга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запу́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запуга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запуга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запуга́ю
2nd Sing,запуга́ешь
3rd Sing,запуга́ет
1st Pl,запуга́ем
2nd Pl,запуга́ете
3rd Pl,запуга́ют
Past M,запуга́л
Past F,запуга́ла
Past N,запуга́ло
Past PL,запуга́ли
Imp S,запуга́й
Imp PL,запуга́йте
