Infinitive,заплева́ть
Zaliznyak Class,2b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заплева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заплева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заплюю́
2nd Sing,заплюёшь
3rd Sing,заплюёт
1st Pl,заплюём
2nd Pl,заплюёте
3rd Pl,заплюю́т
Past M,заплева́л
Past F,заплева́ла
Past N,заплева́ло
Past PL,заплева́ли
Imp S,заплю́й
Imp PL,заплю́йте
