Infinitive,заби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забью́
2nd Sing,забьёшь
3rd Sing,забьёт
1st Pl,забьём
2nd Pl,забьёте
3rd Pl,забью́т
Past M,заби́л
Past F,заби́ла
Past N,заби́ло
Past PL,заби́ли
Imp S,забе́й
Imp PL,забе́йте
