Infinitive,запере́ть
Zaliznyak Class,9b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,за́перший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́пертый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,за́перши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запру́
2nd Sing,запрёшь
3rd Sing,запрёт
1st Pl,запрём
2nd Pl,запрёте
3rd Pl,запру́т
Past M,за́пер
Past F,заперла́
Past N,за́перло
Past PL,за́перли
Imp S,запри́
Imp PL,запри́те
