Infinitive,запоте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запоте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запоте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запоте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запоте́ю
2nd Sing,запоте́ешь
3rd Sing,запоте́ет
1st Pl,запоте́ем
2nd Pl,запоте́ете
3rd Pl,запоте́ют
Past M,запоте́л
Past F,запоте́ла
Past N,запоте́ло
Past PL,запоте́ли
Imp S,запоте́й
Imp PL,запоте́йте
