Infinitive,заплести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заплётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплетённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплетя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заплётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заплету́
2nd Sing,заплетёшь
3rd Sing,заплетёт
1st Pl,заплетём
2nd Pl,заплетёте
3rd Pl,заплету́т
Past M,заплёл
Past F,заплела́
Past N,заплело́
Past PL,заплели́
Imp S,заплети́
Imp PL,заплети́те
