Infinitive,засыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,засыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,засыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,засыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,засыха́ю
2nd Sing,засыха́ешь
3rd Sing,засыха́ет
1st Pl,засыха́ем
2nd Pl,засыха́ете
3rd Pl,засыха́ют
Past M,засыха́л
Past F,засыха́ла
Past N,засыха́ло
Past PL,засыха́ли
Imp S,засыха́й
Imp PL,засыха́йте
