Infinitive,заморга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заморга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заморга́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заморга́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заморга́ю
2nd Sing,заморга́ешь
3rd Sing,заморга́ет
1st Pl,заморга́ем
2nd Pl,заморга́ете
3rd Pl,заморга́ют
Past M,заморга́л
Past F,заморга́ла
Past N,заморга́ло
Past PL,заморга́ли
Imp S,заморга́й
Imp PL,заморга́йте
