Infinitive,заблужда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заблужда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заблужда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заблужда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заблужда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заблужда́юсь
2nd Sing,заблужда́ешься
3rd Sing,заблужда́ется
1st Pl,заблужда́емся
2nd Pl,заблужда́етесь
3rd Pl,заблужда́ются
Past M,заблужда́лся
Past F,заблужда́лась
Past N,заблужда́лось
Past PL,заблужда́лись
Imp S,заблужда́йся
Imp PL,заблужда́йтесь
