Infinitive,заду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заду́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заду́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заду́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заду́ю
2nd Sing,заду́ешь
3rd Sing,заду́ет
1st Pl,заду́ем
2nd Pl,заду́ете
3rd Pl,заду́ют
Past M,заду́л
Past F,заду́ла
Past N,заду́ло
Past PL,заду́ли
Imp S,заду́й
Imp PL,заду́йте
