Infinitive,заткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заткну́сь
2nd Sing,заткнёшься
3rd Sing,заткнётся
1st Pl,заткнёмся
2nd Pl,заткнётесь
3rd Pl,заткну́тся
Past M,заткну́лся
Past F,заткну́лась
Past N,заткну́лось
Past PL,заткну́лись
Imp S,заткни́сь
Imp PL,заткни́тесь
