Infinitive,заде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заде́ну
2nd Sing,заде́нешь
3rd Sing,заде́нет
1st Pl,заде́нем
2nd Pl,заде́нете
3rd Pl,заде́нут
Past M,заде́л
Past F,заде́ла
Past N,заде́ло
Past PL,заде́ли
Imp S,заде́нь
Imp PL,заде́ньте
