Infinitive,засты́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засты́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засты́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засты́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засты́ну
2nd Sing,засты́нешь
3rd Sing,засты́нет
1st Pl,засты́нем
2nd Pl,засты́нете
3rd Pl,засты́нут
Past M,засты́л
Past F,засты́ла
Past N,засты́ло
Past PL,засты́ли
Imp S,засты́нь
Imp PL,засты́ньте
