Infinitive,заре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заре́жу
2nd Sing,заре́жешь
3rd Sing,заре́жет
1st Pl,заре́жем
2nd Pl,заре́жете
3rd Pl,заре́жут
Past M,заре́зал
Past F,заре́зала
Past N,заре́зало
Past PL,заре́зали
Imp S,заре́жь
Imp PL,заре́жьте
