Infinitive,захихи́кать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захихи́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захихи́кав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захихи́кавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захихи́каю
2nd Sing,захихи́каешь
3rd Sing,захихи́кает
1st Pl,захихи́каем
2nd Pl,захихи́каете
3rd Pl,захихи́кают
Past M,захихи́кал
Past F,захихи́кала
Past N,захихи́кало
Past PL,захихи́кали
Imp S,захихи́кай
Imp PL,захихи́кайте
