Infinitive,заплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заплыва́ю
2nd Sing,заплыва́ешь
3rd Sing,заплыва́ет
1st Pl,заплыва́ем
2nd Pl,заплыва́ете
3rd Pl,заплыва́ют
Past M,заплыва́л
Past F,заплыва́ла
Past N,заплыва́ло
Past PL,заплыва́ли
Imp S,заплыва́й
Imp PL,заплыва́йте
