Infinitive,затреща́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затреща́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,затреща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затреща́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,затреща́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,затреща́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,затрещу́
2nd Sing,затрещи́шь
3rd Sing,затрещи́т
1st Pl,затрещи́м
2nd Pl,затрещи́те
3rd Pl,затреща́т
Past M,затреща́л
Past F,затреща́ла
Past N,затреща́ло
Past PL,затреща́ли
Imp S,затрещи́
Imp PL,затрещи́те
