Infinitive,запиха́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запиха́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запиха́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запиха́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запиха́ю
2nd Sing,запиха́ешь
3rd Sing,запиха́ет
1st Pl,запиха́ем
2nd Pl,запиха́ете
3rd Pl,запиха́ют
Past M,запиха́л
Past F,запиха́ла
Past N,запиха́ло
Past PL,запиха́ли
Imp S,запиха́й
Imp PL,запиха́йте
